Developer,Genre,Release Year
Capcom,Role-Playing,2016
Konami,Action,2006
Konami,Role-Playing,2006
Konami,Platformer,2006
Konami,2D,2006
Ubisoft Montreal,Action Adventure,2010
Ubisoft Montreal,Modern,2010
Ubisoft Montreal,General,2010
Codemasters,Racing,2016
Codemasters,Simulation,2016
Codemasters,Automobile,2016
EACanada,Sports,2007
EACanada,Traditional,2007
EACanada,Team,2007
EACanada,Sim,2007
Telltale Games,Action Adventure,2013
Telltale Games,Adventure,2013
Telltale Games,Fantasy,2013
Telltale Games,General,2013
Telltale Games,Point-and-Click,2013
Yuke's,Action,2010
Yuke's,Sports,2010
Yuke's,Fighting,2010
Yuke's,Individual,2010
Ubisoft Montreal,Action Adventure,2005
Ubisoft Montreal,Fantasy,2005
EASports,Sports,2003
EASports,Traditional,2003
EASports,Basketball,2003
EASports,Sim,2003
EATiburon,Sports,2008
EATiburon,Traditional,2008
EATiburon,Team,2008
EATiburon,Football,2008
EATiburon,Sim,2008
Electronic Arts,Sports,2019
Electronic Arts,Team,2019
Electronic Arts,Sim,2019
Telltale Games,Adventure,2008
Telltale Games,General,2008
Telltale Games,3D,2008
Telltale Games,Point-and-Click,2008
Telltale Games,Third-Person,2008
Telltale Games,Adventure,2015
Telltale Games,General,2015
Ubisoft Montreal,Action,2006
Ubisoft Montreal,Shooter,2006
Ubisoft Montreal,First-Person,2006
Ubisoft Montreal,Modern,2006
Capcom,Action,2011
Capcom,Fighting,2011
Capcom,3D,2011
Capcom,2D,2011
Nintendo,Driving,1998
Nintendo,Racing,1998
Square Enix,Role-Playing,2019
Ubisoft Montreal,Action,2005
Ubisoft Montreal,Shooter,2005
Ubisoft Montreal,First-Person,2005
Ubisoft Montreal,Modern,2005
Visual Concepts,Sports,2013
Visual Concepts,Traditional,2013
